Sno,Movie Name,Director1,Director2,Duration,Year,Ratings,Metascore
1,The Dark Knight,Christopher Nolan,Christian Bale,152,2008,9.0,84
2,The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood,201,2003,9.0,94
3,Inception,Christopher Nolan,Leonardo DiCaprio,148,2010,8.8,74
4,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood,178,2001,8.8,92
5,The Lord of the Rings: The Two Towers,Peter Jackson,Elijah Wood,179,2002,8.8,87
6,The Matrix,Lana Wachowski,Lilly Wachowski,136,1999,8.7,73
7,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Mark Hamill,124,1980,8.7,82
8,Soorarai Pottru,Sudha Kongara,Suriya,153,2020,8.7,
9,Star Wars,George Lucas,Mark Hamill,121,1977,8.6,90
10,Terminator 2: Judgment Day,James Cameron,Arnold Schwarzenegger,137,1991,8.6,75
11,Shichinin no samurai,Akira Kurosawa,Toshirô Mifune,207,1954,8.6,98
12,Seppuku,Masaki Kobayashi,Tatsuya Nakadai,133,1962,8.6,85
13,Sita Ramam,Hanu Raghavapudi,Dulquer Salmaan,163,2022,8.6,
14,Léon,Luc Besson,Jean Reno,110,1994,8.5,64
15,Gladiator,Ridley Scott,Russell Crowe,155,2000,8.5,67
16,Avengers: Endgame,Anthony Russo,Joe Russo,181,2019,8.4,78
17,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,117,2018,8.4,87
18,Raiders of the Lost Ark,Steven Spielberg,Harrison Ford,115,1981,8.4,85
19,Avengers: Infinity War,Anthony Russo,Joe Russo,149,2018,8.4,68
20,Oldeuboi,Park Chan-wook,Choi Min-sik,101,2003,8.4,77
21,The Dark Knight Rises,Christopher Nolan,Christian Bale,164,2012,8.4,78
22,Aliens,James Cameron,Sigourney Weaver,137,1986,8.4,84
23,Kaithi,Lokesh Kanagaraj,Karthi,145,2019,8.4,
24,Asuran,Vetrimaaran,Dhanush,141,2019,8.4,
25,Guardians of the Galaxy Vol. 3,James Gunn,Chris Pratt,150,2023,8.3,64
26,Heat,Michael Mann,Al Pacino,170,1995,8.3,76
27,Top Gun: Maverick,Joseph Kosinski,Tom Cruise,130,2022,8.3,78
28,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Mark Hamill,131,1983,8.3,58
29,Mononoke-hime,Hayao Miyazaki,Yôji Matsuda,134,1997,8.3,76
30,North by Northwest,Alfred Hitchcock,Cary Grant,136,1959,8.3,98
31,Kantara,Rishab Shetty,Rishab Shetty,148,2022,8.3,
32,Dangal,Nitesh Tiwari,Aamir Khan,161,2016,8.3,
33,K.G.F: Chapter 2,Prashanth Neel,Yash,168,2022,8.3,
34,Vikram,Lokesh Kanagaraj,Kamal Haasan,175,2022,8.3,
35,Ratsasan,Ram Kumar,Vishnu Vishal,170,2018,8.3,
36,Shershaah,Vishnuvardhan,Sidharth Malhotra,135,2021,8.3,
37,Spider-Man: No Way Home,Jon Watts,Tom Holland,148,2021,8.2,71
38,Jurassic Park,Steven Spielberg,Sam Neill,127,1993,8.2,68
39,1917,Sam Mendes,Dean-Charles Chapman,119,2019,8.2,78
40,Kill Bill: Vol. 1,Quentin Tarantino,Uma Thurman,111,2003,8.2,69
41,Indiana Jones and the Last Crusade,Steven Spielberg,Harrison Ford,127,1989,8.2,65
42,Batman Begins,Christopher Nolan,Christian Bale,140,2005,8.2,70
43,Die Hard,John McTiernan,Bruce Willis,132,1988,8.2,72
44,V for Vendetta,James McTeigue,Hugo Weaving,132,2005,8.2,62
45,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,Natsuki Hanae,117,2020,8.2,72
46,Vikram Vedha,Gayatri,Pushkar,147,2017,8.2,
47,Ran,Akira Kurosawa,Tatsuya Nakadai,162,1985,8.2,97
48,Baahubali 2: The Conclusion,S.S. Rajamouli,Prabhas,167,2017,8.2,
49,Yôjinbô,Akira Kurosawa,Toshirô Mifune,110,1961,8.2,93
50,Sherlock Jr.,Buster Keaton,Buster Keaton,45,1924,8.2,
50,Sherlock Jr.,Buster Keaton,Buster Keaton,45,1924,8.2,
51,Gangs of Wasseypur,Anurag Kashyap,Manoj Bajpayee,321,2012,8.2,89
52,Rangasthalam,Sukumar,Ram Charan,170,2018,8.2,
53,K.G.F: Chapter 1,Prashanth Neel,Yash,156,2018,8.2,
54,Uri: The Surgical Strike,Aditya Dhar,Vicky Kaushal,138,2019,8.2,
55,Dag II,Alper Caglar,Caglar Ertugrul,135,2016,8.2,
56,Paan Singh Tomar,Tigmanshu Dhulia,Irrfan Khan,135,2012,8.2,
57,John Wick: Chapter 4,Chad Stahelski,Keanu Reeves,169,2023,8.1,78
58,Mad Max: Fury Road,George Miller,Tom Hardy,120,2015,8.1,90
59,Ford v Ferrari,James Mangold,Matt Damon,152,2019,8.1,81
60,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Johnny Depp,143,2003,8.1,63
61,Blade Runner,Ridley Scott,Harrison Ford,117,1982,8.1,84
62,The Terminator,James Cameron,Arnold Schwarzenegger,107,1984,8.1,84
63,Logan,James Mangold,Hugh Jackman,137,2017,8.1,77
64,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Jason Flemyng,107,1998,8.1,66
65,How to Train Your Dragon,Dean DeBlois,Chris Sanders,98,2010,8.1,75
66,Warrior,Gavin O'Connor,Tom Hardy,140,2011,8.1,71
67,Rush,Ron Howard,Daniel Brühl,123,I) (2013,8.1,74
68,The Iron Giant,Brad Bird,Eli Marienthal,86,1999,8.1,85
69,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Hideaki Anno,Kazuya Tsurumaki,87,1997,8.1,
70,Kakushi-toride no san-akunin,Akira Kurosawa,Toshirô Mifune,139,1958,8.1,89
71,The General,Clyde Bruckman,Buster Keaton,67,1926,8.1,
72,White Heat,Raoul Walsh,James Cagney,114,1949,8.1,
73,A Wednesday,Neeraj Pandey,Anupam Kher,104,2008,8.1,
74,Bajrangi Bhaijaan,Kabir Khan,Mehmet Tutkun,163,2015,8.1,
75,Sholay,Ramesh Sippy,Sanjeev Kumar,204,1975,8.1,
76,Major,Sashi Kiran Tikka,Adivi Sesh,150,2022,8.1,
77,Hera Pheri,Priyadarshan,Akshay Kumar,156,2000,8.1,
78,Thuppakki,A.R. Murugadoss,Joseph Vijay,165,2012,8.1,
79,Sarfarosh,John Mathew Matthan,Aamir Khan,174,1999,8.1,
80,Kaththi,A.R. Murugadoss,Joseph Vijay,166,2014,8.1,
81,Guardians of the Galaxy,James Gunn,Chris Pratt,121,2014,8.0,76
82,Dune: Part One,Denis Villeneuve,Timothée Chalamet,155,2021,8.0,74
83,Blade Runner 2049,Denis Villeneuve,Harrison Ford,164,2017,8.0,81
84,Deadpool,Tim Miller,Ryan Reynolds,108,2016,8.0,65
85,The Avengers,Joss Whedon,Robert Downey Jr.,143,2012,8.0,69
86,Zack Snyder's Justice League,Zack Snyder,Henry Cavill,242,2021,8.0,54
87,Casino Royale,Martin Campbell,Daniel Craig,144,2006,8.0,80
88,The Incredibles,Brad Bird,Craig T. Nelson,115,2004,8.0,90
89,The Revenant,Alejandro G. Iñárritu,Leonardo DiCaprio,156,I) (2015,8.0,76
90,Akira,Katsuhiro Ôtomo,Mitsuo Iwata,124,1988,8.0,67
