Movie Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross Collection,Popularity,Certification
The Dark Knight,Heath Ledger,Aaron Eckhart,Michael Caine,,2716055,Action,Crime,Drama,,,UA
The Lord of the Rings: The Return of the King,Viggo Mortensen,Ian McKellen,Orlando Bloom,,1885786,Action,Adventure,Drama,,,U
Inception,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,,2410997,Action,Adventure,Sci-Fi,,,UA
The Lord of the Rings: The Fellowship of the Ring,Ian McKellen,Orlando Bloom,Sean Bean,,1914509,Action,Adventure,Drama,,,U
The Lord of the Rings: The Two Towers,Ian McKellen,Viggo Mortensen,Orlando Bloom,,1702173,Action,Adventure,Drama,,,UA
The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,1956301,Action,Sci-Fi,,,,A
Star Wars: Episode V - The Empire Strikes Back,Harrison Ford,Carrie Fisher,Billy Dee Williams,,1320143,Action,Adventure,Fantasy,,,UA
Soorarai Pottru,Paresh Rawal,Aparna Balamurali,Urvashi,,119430,Action,Drama,,,,U
Star Wars,Harrison Ford,Carrie Fisher,Alec Guinness,,1392626,Action,Adventure,Fantasy,,,U
Terminator 2: Judgment Day,Linda Hamilton,Edward Furlong,Robert Patrick,,1122237,Action,Sci-Fi,,,,A
Shichinin no samurai,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,,352619,Action,Drama,,,,U
Seppuku,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,,60873,Action,Drama,Mystery,,,
Sita Ramam,Mrunal Thakur,Rashmika Mandanna,Sumanth,,59684,Action,Drama,Mystery,,,U
Léon,Gary Oldman,Natalie Portman,Danny Aiello,,1188467,Action,Crime,Drama,,,A
Gladiator,Joaquin Phoenix,Connie Nielsen,Oliver Reed,,1535040,Action,Adventure,Drama,,,UA
Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,1178391,Action,Adventure,Drama,,,UA
Spider-Man: Into the Spider-Verse,Rodney Rothman,Shameik Moore,Jake Johnson,Hailee Steinfeld,563133,Animation,Action,Adventure,,,U
Raiders of the Lost Ark,Karen Allen,Paul Freeman,John Rhys-Davies,,985510,Action,Adventure,,,,A
Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,1121880,Action,Adventure,Sci-Fi,,,UA
Oldeuboi,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,,595794,Action,Drama,Mystery,,,A
The Dark Knight Rises,Tom Hardy,Anne Hathaway,Gary Oldman,,1740355,Action,Drama,Thriller,,,UA
Aliens,Michael Biehn,Carrie Henn,Paul Reiser,,732058,Action,Adventure,Sci-Fi,,,U
Kaithi,Narain,Arjun Das,George Maryan,,36017,Action,Adventure,Crime,,,UA
Asuran,Manju Warrier,Prakash Raj,Pasupathy,,31156,Action,Drama,,,,UA
Guardians of the Galaxy Vol. 3,Chukwudi Iwuji,Bradley Cooper,Pom Klementieff,,136932,Action,Adventure,Comedy,,,UA
Heat,Robert De Niro,Val Kilmer,Jon Voight,,674973,Action,Crime,Drama,,,A
Top Gun: Maverick,Jennifer Connelly,Miles Teller,Val Kilmer,,586942,Action,Drama,,,,UA
Star Wars: Episode VI - Return of the Jedi,Harrison Ford,Carrie Fisher,Billy Dee Williams,,1076823,Action,Adventure,Fantasy,,,U
Mononoke-hime,Yuriko Ishida,Yûko Tanaka,Billy Crudup,,406342,Animation,Action,Adventure,,,U
North by Northwest,Eva Marie Saint,James Mason,Jessie Royce Landis,,334395,Action,Adventure,Mystery,,,U
Kantara,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,,95238,Action,Adventure,Drama,,,UA
Dangal,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,,197137,Action,Biography,Drama,,,U
K.G.F: Chapter 2,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,,139481,Action,Crime,Drama,,,UA
Vikram,Vijay Sethupathi,Fahadh Faasil,Narain,,63740,Action,Crime,Thriller,,,UA
Ratsasan,Amala Paul,Radha Ravi,Sangili Murugan,,46891,Action,Crime,Drama,,,UA
Shershaah,Kiara Advani,Shiv Panditt,Pranay Pachauri,,124664,Action,Biography,Drama,,,UA
Spider-Man: No Way Home,Zendaya,Benedict Cumberbatch,Jacob Batalon,,795497,Action,Adventure,Fantasy,,,UA
Jurassic Park,Laura Dern,Jeff Goldblum,Richard Attenborough,,1013118,Action,Adventure,Sci-Fi,,,UA
1917,George MacKay,Daniel Mays,Colin Firth,,620083,Action,Drama,War,,,R
